epoch,loss,lr,val_loss
0,815.24951171875,0.001,757.061767578125
1,811.6642456054688,0.001,741.0025024414062
2,803.8445434570312,0.001,735.234130859375
3,797.0547485351562,0.001,730.1691284179688
4,782.5606079101562,0.001,720.9388427734375
5,790.3733520507812,0.001,716.7037963867188
6,778.9586791992188,0.001,714.673828125
7,770.7110595703125,0.001,718.4255981445312
8,774.3829345703125,0.001,698.0460815429688
9,768.1229248046875,0.001,704.8104248046875
